Bureau of Justice Statistics,,,,
Filename:cv16at04.csv,,,,
"Appendix Table 4. Estimates and standard errors for figure 3: Property victimization, 2007–2016",,,,
"Report title: Criminal Victimization, 2016",,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2007–2016; and U.S. Census Bureau, National Crime Victimization Survey Internal Data, 2016.",,,,
"Author(s): Rachel E. Morgan, Ph.D., and Grace Kena, BJS Statisticians",,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,
Date of version: 11/30/2017,,,,
,,,,
"Appendix Table 4. Estimates and standard errors for figure 3: Property victimization, 2007–2016",,,,
,,,,
,,,95% confidence interval,
Year,"Rate per 1,000 households",Standard error,Lower bound,Upper bound
2007,154.9,3.48,148.12,161.77
2008,142.6,3.66,135.45,149.8
2009,132.6,3.32,126.12,139.12
2010,125.4,2.73,120.06,130.77
2011,138.7,3.5,131.82,145.55
2012,155.8,3.08,149.8,161.87
2013,131.4,2.89,125.77,137.1
2014,118.1,2.6,112.96,123.17
2015,110.7,2.65,105.54,115.91
2016 new counties,130,4.1,121.96,138.04
2016 continuing counties,113.9,3.02,107.98,119.82
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2007–2016; and U.S. Census Bureau, National Crime Victimization Survey Internal Data, 2016.",,,,
