Bureau of Justice Statistics,,
Filename:cv16at07.csv,,
"Appendix Table 7. Standard errors for table 4: Rate of crime reported to police in the Uniform Crime Reporting Program and National Crime Victimization Survey, 2016",,
"Report title: Criminal Victimization, 2016",,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2016.",,
"Author(s): Rachel E. Morgan, Ph.D., and Grace Kena, BJS Statisticians",,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,
Date of version: 11/30/2017,,
,,
"Appendix Table 7. Standard errors for table 4: Rate of crime reported to police in the Uniform Crime Reporting Program and National Crime Victimization Survey, 2016",,
,,
Type of crime,,"NCVS rate per 1,000 persons age 12 or older "
Serious violent crime,,0.37
,Rape,0.07
,Robbery,0.15
,Aggravated assault,0.27
,,"NCVS rate per 1,000 households"
Property crime,,1.37
,Burglary,0.66
,Motor vehicle theft,0.32
"Source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2016.",,
