Bureau of Justice Statistics,,,,
Filename:cv16at08.csv,,,,
"Appendix Table 8. Standard errors for table 5: Percent of victimizations reported to police, by type of crime, 2016",,,,
"Report title: Criminal Victimization, 2016",,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2016.",,,,
"Author(s): Rachel E. Morgan, Ph.D., and Grace Kena, BJS Statisticians",,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,
Date of version: 11/30/2017,,,,
,,,,
"Appendix Table 8. Standard errors for table 5: Percent of victimizations reported to police, by type of crime, 2016",,,,
,,,,
Type of crime,,,Percent,
,,,,
Violent crime,,,2.1,%
,Rape/sexual assault,,4.54,
,Robbery,,4.88,
,Assault,,2.21,
,,Aggravated assault,3.7,
,,Simple assault,2.3,
,Domestic violence,,3.67,
,,Intimate partner violence,4.53,
,Stranger violence,,2.87,
,Violent crime involving injury,,3.4,
Serious violent crime,,,3.07,%
,Serious domestic violence,,5.28,
,,Serious intimate partner violence,6.12,
,Serious stranger violence,,4.14,
,Serious violent crime involving a weapon,,3.5,
,Serious violent crime involving injury,,4.22,
Property crime,,,0.88,%
,Household burglary,,1.78,
,Motor vehicle theft,,3.13,
,Theft,,0.93,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2016.",,,,
