Bureau of Justice Statistics,,,,,,,,
Filename:cv16at11.csv,,,,,,,,
"Appendix Table 11. Standard errors for table 8: Rate of violent victimization and serious violent victimization and percent reported to police, by demographic characteristics of victims, 2016",,,,,,,,
"Report title: Criminal Victimization, 2016",,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2016.",,,,,,,,
"Author(s): Rachel E. Morgan, Ph.D., and Grace Kena, BJS Statisticians",,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,
Date of version: 11/30/2017,,,,,,,,
,,,,,,,,
"Appendix Table 11. Standard errors for table 8: Rate of violent victimization and serious violent victimization and percent reported to police, by demographic characteristics of victims, 2016",,,,,,,,
,,,,,,,,
,,"Rate of total violence per 1,000 persons age 12 or older",,,Percent of violence reported to police,,,
Victim demographic characteristic,,Violent crime,Serious violent crime,,Violent crime,,Serious violent crime,
,,,,,,,,
,Total,0.95,0.46,,2.1,%,3.07,%
Sex,,,,,,,,
,Male,1.54,0.69,,2.65,%,3.98,%
,Female,1.49,0.74,,2.56,,3.67,
Race/Hispanic origin,,,,,,,,
,White,1.39,0.62,,2.41,%,3.65,%
,Black,2.51,1.24,,3.93,,6.03,
,Hispanic,2.05,1.13,,3.95,,5.3,
,Other,2.81,1.49,,4.8,,7.13,
Age,,,,,,,,
,12–17,3.23,1.41,,3.53,%,6.68,%
,18–24,3.04,1.56,,3.61,,5.65,
,25–34,2.76,1.52,,3.23,,4.41,
,35–49,2.02,0.9,,3.4,,5.19,
,50–64,1.58,0.74,,3.77,,5.53,
,65 or older,0.74,0.3,,6.64,,11.74,
Marital status,,,,,,,,
,Never married,2.12,1.06,,2.43,%,3.73,%
,Married,1.08,0.44,,3.27,,5.08,
,Widowed,1.94,0.8,,7.47,,13.45,
,Divorced,3.11,1.71,,4.11,,5.74,
,Separated,8.83,4.23,,5.51,,8.79,
Household income,,,,,,,,
,"Less than $10,000",4.1,2.16,,4.62,%,6.45,%
,"$10,000–$14,999",4.4,2.43,,5.07,,7.27,
,"$15,000–$24,999",3.27,1.89,,3.9,,5.38,
,"$25,000–$34,999",2.4,1.1,,4.45,,7.1,
,"$35,000–$49,999",2.1,1.03,,3.69,,5.91,
,"$50,000–$74,999",1.83,0.88,,3.94,,6.06,
,"$75,000 or more",1.37,0.55,,3.14,,5.29,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2016.",,,,,,,,
