Bureau of Justice Statistics,,,,,,
Filename:cv16at12.csv,,,,,,
"Appendix Table 12. Rates and standard errors for figure 4: Rate of violent victimization, by race and Hispanic origin of victim, 2016",,,,,,
"Report title: Criminal Victimization, 2016",,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2016.",,,,,,
"Author(s): Rachel E. Morgan, Ph.D., and Grace Kena, BJS Statisticians",,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,
Date of version: 11/30/2017,,,,,,
,,,,,,
"Appendix Table 12. Rates and standard errors for figure 4: Rate of violent victimization, by race and Hispanic origin of victim, 2016",,,,,,
,,,,,,
,,Violent victimization,,,Serious violent victimization,
Race/Hispanic origin of victim,,"Rate per 1,000 persons age 12 or older",Standard error,,"Rate per 1,000 persons age 12 or older",Standard error
,Total,21.1,0.95,,7,0.46
White,,20.5,1.39,,0.62,0.62
Black,,24.1,2.51,,1.24,1.24
Hispanic,,20.2,2.05,,1.13,1.13
American Indian or Alaska Native,,36.9,9.85,,5.48,5.48
"Asian, Native Hawaiian, or Other Pacific Islander",,13.9,2.22,,6.6,1.4
Persons of two or more races,,59.8,9.31,,15.4,4.15
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2016.",,,,,,
