Bureau of Justice Statistics,,,,,,,,,,,
Filename:cv16at13.csv,,,,,,,,,,,
"Appendix Table 13. Standard errors for table 9: Rate of total victimization and percent of victimizations reported to police, by type of crime and household location, 2016",,,,,,,,,,,
"Report title: Criminal Victimization, 2016",,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2016.",,,,,,,,,,,
"Author(s): Rachel E. Morgan, Ph.D., and Grace Kena, BJS Statisticians",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,
Date of version: 11/30/2017,,,,,,,,,,,
,,,,,,,,,,,
"Appendix Table 13. Standard errors for table 9: Rate of total victimization and percent of victimizations reported to police, by type of crime and household location, 2016",,,,,,,,,,,
,,,,,,,,,,,
,,Rate of total victimization,,,,Percent of victimizations reported to police,,,,,
Household location,,Violent crime,Serious violent crime,Property crime,,Violent crime,,Serious violent crime,,Property crime,
,Total,0.95,0.46,2.19,,2.1,%,3.07,%,0.88,%
Region,,,,,,,,,,,
,Northeast,1.77,0.76,3.76,,4.04,%,6.6,%,2.14,%
,Midwest,2.28,1.15,4.19,,2.98,,4.57,,1.63,
,South,1.39,0.72,3.44,,3.2,,4.48,,1.36,
,West,2.21,0.96,5.06,,3.1,,4.89,,1.39,
Location of residence,,,,,,,,,,,
,Urban,2.16,1.08,4.1,,2.65,%,3.86,%,1.22,%
,Suburban,1.21,0.57,2.8,,2.85,,4.27,,1.27,
,Rural,2.24,0.92,5.17,,3.91,,6.6,,1.89,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2016.",,,,,,,,,,,
