Bureau of Justice Statistics,,,,,
Filename:cv16at14.csv,,,,,
"Appendix Table 14. Standard errors for table 10: Number of victims and prevalence rate, by type of crime, 2016",,,,,
"Report title: Criminal Victimization, 2016",,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2016.",,,,,
"Author(s): Rachel E. Morgan, Ph.D., and Grace Kena, BJS Statisticians",,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,
Date of version: 11/30/2017,,,,,
,,,,,
"Appendix Table 14. Standard errors for table 10: Number of victims and prevalence rate, by type of crime, 2016",,,,,
,,,,,
Type of crime,,,Number ,Prevalence rate,
Violent crime,,,"122,001",0.041,%
,Rape or sexual assault,,"21,108",0.008,
,Robbery,,"36,301",0.013,
,Assault,,"110,135",0.038,
,,Aggravated assault,"48,323",0.017,
,,Simple assault,"94,766",0.033,
,Domestic violence,,"45,445",0.016,
,,Intimate partner violence,"25,199",0.009,
,Stranger violence,,"64,622",0.023,
,Violent crime involving injury,,"50,207",0.018,
Serious violent crime,,,"65,413",0.023,%
,Serious domestic violence,,"24,984",0.009,
,,Serious intimate partner violence,"21,071",0.008,
,Serious stranger violence,,"41,679",0.015,
,Serious violent crime involving a weapon,,"55,285",0.02,
,Serious violent crime involving injury,,"40,026",0.015,
Property crime,,,"221,150",0.146,%
,Household burglary,,"75,840",0.056,
,Motor vehicle theft,,"38,186",0.029,
,Theft,,"187,580",0.124,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2016.",,,,,
