Bureau of Justice Statistics,,,,
Filename:cv16at15.csv,,,,
"Appendix Table 15. Standard errors for table 11: Prevalence of violent crime, by demographic characteristics of victims, 2016",,,,
"Report title: Criminal Victimization, 2016",,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2016.",,,,
"Author(s): Rachel E. Morgan, Ph.D., and Grace Kena, BJS Statisticians",,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,
Date of version: 11/30/2017,,,,
,,,,
"Appendix Table 15. Standard errors for table 11: Prevalence of violent crime, by demographic characteristics of victims, 2016",,,,
,,,,
Victim demographic characteristic,,Number of persons victimized,Prevalence rate,
,Total,"122,001",0.041,%
Sex,,,,
,Male,"75,001",0.055,%
,Female,"83,436",0.056,
Race/Hispanic origin,,,,
,White,"101,571",0.052,%
,Black,"43,557",0.116,
,Hispanic,"43,084",0.095,
,Other,"28,099",0.131,
Age,,,,
,12–17,"44,372",0.168,%
,18–24,"43,442",0.142,
,25–34,"49,081",0.107,
,35–49,"52,257",0.081,
,50–64,"36,830",0.058,
,65 or older,"16,566",0.035,
Marital status,,,,
,Never married,"76,245",0.076,%
,Married,"50,967",0.038,
,Widowed,"20,807",0.139,
,Divorced,"37,288",0.131,
,Separated,"18,636",0.359,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2016.",,,,
