Bureau of Justice Statistics,
Filename:cv16f01.csv,
"Figure 1. Percent of victimizations reported to police, 2016",
"Report title: Criminal Victimization, 2016,  NCJ 251150",
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2016.",
"Author: Rachel E. Morgan, Ph.D., and Grace Kena, BJS Statisticians",
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,
Date of version: 11/30/2017,
,
"Figure 1. Percent of victimizations reported to police, 2016",
,
,Percent
Violent victimization,42.0964
Serious victimization,51.2523
Property victimization,35.6971
"Note: Violent crime includes serious violent crime and simple assault. In the NCVS, serious violent crime is a subset of violent crime and includes rape or sexual assault, robbery, and aggravated assault. Property crime includes household burglary, motor vehicle theft, and property theft. See appendix table 1 for estimates and standard errors.",
"Source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2016.",
