Bureau of Justice Statistics,,,
Filename:cv16f03.csv,,,
"Figure 3. Property victimization, 2007-2016",,,
"Report title: Criminal Victimization, 2016,  NCJ 251150",,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2007–2016; and U.S. Census Bureau, National Crime Victimization Survey Internal Data, 2016.",,,
"Author: Rachel E. Morgan, Ph.D., and Grace Kena, BJS Statisticians",,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,
Date of version: 11/30/2017,,,
,,,
"Figure 3. Property victimization, 2007-2016",,,
,Upper bound,"Rate per 1,000 households",Lower bound
2007,161.7,154.9,148.1
2008,149.8,142.6,135.4
2009,139.1,132.6,126.1
2010,130.8,125.4,120
2011,145.6,138.7,131.8
2012,161.8,155.8,149.8
2013,137.1,131.4,125.7
2014,123.2,118.1,113
2015,115.9,110.7,105.5
2016 new continuing,118.9,113.9,108.9
2016 continuing counties,135,130,125
Note: Estimates include 95% confidence intervals. See appendix table 4 for estimates and standard errors.,,,
*Dashed line for 2016 includes continuing sample counties only. Dotted line for 2016 includes new sample counties and is for illustration only. See Methodology for more information on changes in the 2016 NCVS.,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2007–2016; and U.S. Census Bureau, National Crime Victimization Survey Internal Data, 2016.",,,
