Bureau of Justice Statistics,,,,
Filename:cv16f04.csv,,,,
"Figure 4. Rate of violent victimization, by race and Hispanic origin of victim, 2016",,,,
"Report title: Criminal Victimization, 2016,  NCJ 251150",,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2016.",,,,
"Author: Rachel E. Morgan, Ph.D., and Grace Kena, BJS Statisticians",,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,
Date of version: 11/30/2017,,,,
,,,,
"Figure 4. Rate of violent victimization, by race and Hispanic origin of victim, 2016",,,,
,,,,
,Violent victimizations,,Serious victimizations,
Total victimizations,21.1,,7,
White,20.5,,6.3,
Black*,24.1,,8.2,
Hispanic,20.2,,8.2,
American Indian or Alaska Native,36.9,,13.3,
Asian or Pacific Islander,13.9,†,6.6,
Persons of two or more races,59.8,†,15.4,?
"Note: Violent victimization includes serious violent victimization (rape or sexual assault, robbery, and aggravated assault) and simple assault. White; black; American Indian or Alaska Native; Asian, Native Hawaiian, or Other Pacific Islander; and persons of two or more race categories exclude persons of Hispanic or Latino origin. See appendix table 12 for estimates and standard errors.",,,,
*Comparison group.,,,,
†Significant difference from comparison group at the 95% confidence level.,,,,
‡Significant difference from comparison group at the 90% confidence level.,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2016.",,,,
