Bureau of Justice Statistics,,,,,,
Filename:cv16t1.csv,,,,,,
"Table 1. Victimization rates in NCVS continuing, outgoing, and new sample counties, 2015 and 2016",,,,,,
"Report title: Criminal Victimization, 2016",,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2016; and U.S. Census Bureau, National Crime Victimization Survey Internal Data, 2016. ",,,,,,
"Author(s): Rachel E. Morgan, Ph.D., and Grace Kena, BJS Statisticians",,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,
Date of version: 11/30/2017,,,,,,
,,,,,,
"Table 1. Victimization rates in NCVS continuing, outgoing, and new sample counties, 2015 and 2016",,,,,,
,,,,,,
,Continuing NCVS sample counties,,,Outgoing NCVS sample counties/new NCVS sample counties,,
Type of crime,2015*,2016,,2015 outgoing**,2016 new,
Total violent crime/a,18.7,19.5,,18.3,24.2, †
Serious violent crime/b,7.3,6.8,,5.2,7.5, †
Total property crime/c,108.1,113.9,,118.6,130,
"Note: For violent and serious violent crime, rate is per 1,000 persons age 12 or older. For property crime, rate is per 1,000 households. See appendix table 2 for standard errors.",,,,,,
*Comparison group. 2015 continuing sample counties are compared to 2016 continuing sample counties.,,,,,,
**Comparison group. 2015 outgoing sample counties are compared to 2016 new sample counties.,,,,,,
†Significant difference from comparison year at 95% confidence level.,,,,,,
"a/Includes rape or sexual assault, robbery, aggravated assault, and simple assault.",,,,,,
"b/In the NCVS, serious violent crime is a subset of violent crime and includes rape or sexual assault, robbery, and aggravated assault.",,,,,,
"c/Includes household burglary, theft, and motor vehicle theft.",,,,,,
"Source: Bureau of Justice Statistics, based on internal data from the U.S. Census Bureau, National Crime Victimization Survey (NCVS), 2015–2016. ",,,,,,
