Bureau of Justice Statistics,,,,,,
Filename:cv16t02.csv,,,,,,
"Table 2. Violent and property victimization, by type of crime, 2016",,,,,,
"Report title: Criminal Victimization, 2016",,,,,,
"Data source:  Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2016.",,,,,,
"Author(s): Rachel E. Morgan, Ph.D., and Grace Kena, BJS Statisticians",,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,
Date of version: 11/30/2017,,,,,,
,,,,,,
"Table 2. Violent and property victimization, by type of crime, 2016",,,,,,
,,,,,,
Type of crime,,,Number,,"Rate per 1,000/a ",
Violent crime/b,,,"5,749,330",,21.1,
,Rape or sexual assault/c,,"323,450", †,1.2, †
,Robbery,,"500,680", †,1.8, †
,Assault,,"4,925,200",,18.1,
,,Aggravated assault,"1,084,340", †,4, †
,,Simple assault*,"3,840,860",,14.1,
,Domestic violence/d,,"1,109,610",,4.1,
,,Intimate partner violence/e,"597,740",,2.2,
,Stranger violence,,"2,232,260",,8.2,
,Violent crime involving injury,,"1,366,250",,5,
Serious violent crime/f,,,"1,908,470",,7,
,Serious domestic violence/d,,"402,430",,1.5,
,,Serious intimate partner violence/e,"272,380",,1,
,Serious stranger violence,,"789,370",,2.9,
,Serious violent crime involving a weapon,,"1,267,810",,4.7,
,Serious violent crime involving injury,,"746,850",,2.7,
Property crime,,,"15,917,430",,119.4,
,Burglary,,"3,291,490", †,24.7, †
,Motor vehicle theft,,"585,500", †,4.4, †
,Theft**,,"12,040,440",,90.3,
"Note: Violent crime classifications include rape or sexual assault, robbery, aggravated assault, and simple assault. Other violent crime categories in this table, including domestic violence and violent crime involving injury, are not mutually exclusive from these classifications. Detail may not sum to total due to rounding. Total population age 12 or older was 272,174,080 in 2016. Total number of households was 133,271,310 in 2016. See appendix table 5 for standard errors. ",,,,,,
"*Comparison group for violent crime. Simple assault is compared to rape or sexual assault, robbery, and aggravated assault.",,,,,,
**Comparison group for property crime. ,,,,,,
†Significant difference from comparison group at 95% confidence level.,,,,,,
"a/For violent and serious violent crime, rate is per 1,000 persons age 12 or older. For property crime, rate is per 1,000 households.",,,,,,
b/Excludes homicide because the NCVS is based on interviews with victims and cannot measure murder.,,,,,,
c/See Methodology for details on the measurement of rape or sexual assault in the NCVS.,,,,,,
d/Includes victimization committed by intimate partners and family members. ,,,,,,
"e/Includes victimization committed by current or former spouses, boyfriends or girlfriends.",,,,,,
"f/In the NCVS, serious violent crime is a subset of violent crime and includes rape or sexual assault, robbery, and aggravated assault.",,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2016.",,,,,,
