Bureau of Justice Statistics,,,
Filename:cv16t07.csv,,,
"Table 7. Percent of violent victimizations in which victims received assistance from a victim service agency, by type of crime, 2016",,,
"Report title: Criminal Victimization, 2016",,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2016.",,,
"Author(s): Rachel E. Morgan, Ph.D., and Grace Kena, BJS Statisticians",,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,
Date of version: 11/30/2017,,,
,,,
"Table 7. Percent of violent victimizations in which victims received assistance from a victim service agency, by type of crime, 2016",,,
,,,
Type of crime,,Percent,
Violent crime/a,,9.5,%
,Serious violent crime/b*,12.2,
,Simple assault,8.1, †
Intimate partner violence/c,,25.5,%
Violent crime involving injury,,12.7,%
Violent crime involving a weapon,,13.6,%
Note: See appendix table 10 for standard errors. ,,,
*Comparison group. Serious violent crime is compared to simple assault.,,,
†Significant difference from comparison group at 95% confidence level.,,,
"a/Includes rape or sexual assault, robbery, aggravated assault, and simple assault. Excludes homicide because the NCVS is based on interviews with victims and cannot measure murder.",,,
"b/In the NCVS, serious violent crime is a subset of violent crime and includes rape or sexual assault, robbery, and aggravated assault.",,,
"c/Includes victimization committed by current or former spouses, boyfriends, or girlfriends.",,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2016.",,,
