Bureau of Justice Statistics,,,,,
Filename:cv16t11.csv,,,,,
"Table 11. Prevalence of violent crime, by demographic characteristics of victims, 2016",,,,,
"Report title: Criminal Victimization, 2016",,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2016.",,,,,
"Author(s): Rachel E. Morgan, Ph.D., and Grace Kena, BJS Statisticians",,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,
Date of version: 11/30/2017,,,,,
,,,,,
"Table 11. Prevalence of violent crime, by demographic characteristics of victims, 2016",,,,,
,,,,,
Victim demographic characteristic,,Number of persons victimized/a,Prevalence rate/b,,
,,,,,
,Total,"3,629,180",,1.33,%
Sex,,,,,
,Male*,"1,872,700",,1.41,%
,Female,"1,756,490",,1.26, †
Race/Hispanic origin/c,,,,,
,White,"2,318,090", †,1.34,%
,Black*,"485,670",,1.44,
,Hispanic,"540,690", ,1.21,
,Other/d,"284,730", †,1.34,
Age,,,,,
,12–17,"469,490",,1.88,%
,18–24*,"565,950",,1.86,
,25–34,"861,490", †,1.95,
,35–49,"901,440", †,1.47, †
,50–64,"646,900",,1.02, †
,65 or older,"183,910", †,0.38, †
Marital status,,,,,
,Never married*,"1,822,230",,1.9,%
,Married,"1,027,340", †,0.8, †
,Widowed,"96,920", †,0.64, †
,Divorced,"533,160", †,1.98,
,Separated,"140,290", †,2.79, †
Note: Detail may not sum to total due to rounding. See appendix table 15 for standard errors.,,,,,
*Comparison group.,,,,,
†Significant difference from comparison group at 95% confidence level.,,,,,
a/Number of persons age 12 or older who experienced at least one victimization during the year for violent crime.,,,,,
b/Percent of persons age 12 or older who experienced at least one victimization during the year for violent crime.,,,,,
"c/White, black, and other race categories exclude persons of Hispanic or Latino origin.",,,,,
"d/Includes American Indian or Alaska Native; Asian, Native Hawaiian, or Other Pacific Islander; and persons of two or more races.",,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2016. ",,,,,
