Branch,Rank,Standardized Pay Grade,Notes,,
AIRFORCE,Airman First Class,E-3,,,
AIRFORCE,Senior Airman,E-4,,,
AIRFORCE,enlisted Airman,E-2,,What we need help with:,
AIRFORCE,A1C,E-3,,"1. For each rank in the ""Rank"": column:",
AIRFORCE,Airman,E-2,,,a. Google the rank + ' pay grade'
AIRFORCE,SSgt,E-6,,,b. Usually the first hit will give you something
AIRFORCE,SrA,E-4,,,"c. Note the pay-grade in the ""Standardized Pay Grade""column"
AIRFORCE,Staff Sergeant,E-5,,,d. super fast.
AIRFORCE,Technical Sergeant,E-6,,,
AIRFORCE,TSgt,E-6,,,
AIRFORCE,Master,E-7,,,
AIRFORCE,Captain,O-3,,This is a helpful abbreviation cheat sheet for the navy: ,
AIRFORCE,AB,E-1,,https://www.cem.va.gov/CEM/docs/abbreviations/Ranks_Navy.pdf,
AIRFORCE,MSgt,E-7,,,
AIRFORCE,officer,,bad value,,
AIRFORCE,Major,O-4,,,
AIRFORCE,Capt,O-3,,,
AIRFORCE,1st,O-2,,,
AIRFORCE,Maj,O-4,,,
AIRFORCE,First Lieutenant,O-2,,,
AIRFORCE,Amn,E-2,,,
AIRFORCE,Senior Master Sergeant,E-8,,,
AIRFORCE,AFC,E-3,,,
AIRFORCE,Lieutenant,O-2,bad value - assuming first lieutenant,,
AIRFORCE,SMSgt,E-8,,,
AIRFORCE,2d,O-1,,,
AIRFORCE,Lt,O-2,,,
AIRFORCE,Cadet,cadet,,,
AIRFORCE,Colonel,O-6,,,
AIRFORCE,cadet,cadet,,,
AIRFORCE,CMSgt,E-9,,,
ARMY,SPC,E-4,,,
ARMY,SGT,E-5,,,
ARMY,PFC,E-3,,,
ARMY,SSG,E-6,,,
ARMY,PVT,E-3,,,
ARMY,SFC,E-7,,,
ARMY,PV2,E-3,,,
ARMY,Sergeant,E-5,,,
ARMY,Specialist,E-4,,,
ARMY,Staff Sergeant,E-6,,,
ARMY,CPT,O-3,,,
ARMY,MSG,E-8,,,
ARMY,Private First Class,E-3,,,
ARMY,Private,E-1,,,
ARMY,MAJ,O-4,,,
ARMY,1LT,O-2,,,
ARMY,CW2,W-2,,,
ARMY,LTC,O-5,,,
ARMY,Chief Warrant Officer,,bad value. assuming first CWO.,,
ARMY,Captain,O-3,,,
ARMY,WO1,W-1,WO-1,,
ARMY,2LT,O-1,,,
ARMY,CW3,W-3,,,
ARMY,First Lieutenant,O-2,,,
ARMY,SGM,E-9,,,
ARMY,Major,O-4,,,
ARMY,CDT,cadet,,,
ARMY,CPL,E-4,,,
ARMY,Private (E-1),E-1,,,
ARMY,CW4,W-4,,,
ARMY,COL,O-6,,,
ARMY,Second Lieutenant,O-1,,,
ARMY,United States Military Academy Cadet,cadet,,,
ARMY,1SG,E-8,,,
ARMY,PV1,E-4,,,
ARMY,CSM,E-9,,,
MARINES,Lance Corporal,E-3,,,
MARINES,Corporal,E-4,,,
MARINES,Sergeant,E-5,,,
MARINES,Private First Class,E-2,,,
MARINES,Staff Sergeant,E-6,,,
MARINES,Private,E-1,,,
MARINES,corporal,E-4,,,
MARINES,Gunnery,E-7,,,
MARINES,sergeant,E-5,,,
MARINES,lance corporal,E-3,,,
MARINES,staff sergeant,E-6,,,
MARINES,Lance,E-3,,,
MARINES,Master,E-8,"bad value - assuming ""master sergeant""",,
MARINES,gunnery sergeant,E-7,,,
MARINES,private first class,E-2,,,
NAVY,Hospitalman,E-3,,,
MARINES,Lieutenant,O-2,"Marines -- 2nd Lt. (O-1) or 1st Lt (O-2)? With so many Navy ranks in the mix, it might be a Navy Lt. (O-3) or Lt. Commander (O-4)",,
